t,value
1532092062,1
1532092065,1
1532092068,1
1532092071,1
1532092074,1
1532092077,1
t,value
1532092253,1
1532092256,1
1532092259,1
1532092262,1
1532092265,1
1532092268,1
1532092271,1
1532092274,1
1532092277,1
1532092280,1
1532092283,1
1532092286,1
1532092289,1
1532092292,1
1532092295,1
1532092298,1
1532092301,1
1532092304,1
1532092307,1
1532092310,1
1532092313,1
1532092316,1
1532092319,1
1532092322,1
1532092325,1
1532092328,1
1532092331,1
1532092334,1
1532092337,1
1532092340,1
1532092343,1
1532092346,1
1532092349,1
1532092352,1
1532092355,1
1532092358,1
1532092361,1
1532092364,1
1532092367,1
1532092370,1
1532092373,1
1532092376,1
1532092463,1
1532092466,1
1532092469,1
1532092472,1
1532092475,1
1532092478,1
1532092481,1
1532092484,1
1532092487,1
1532092490,1
1532092493,1
1532092496,1
1532092499,1
1532092502,1
1532092505,1
1532092508,1
1532092511,1
1532092514,1
1532092517,1
1532092520,1
1532092773,1
1532092776,1
1532092779,1
1532092782,1
1532092785,1
1532092788,1
1532092791,1
1532092794,1
1532092797,1
1532092800,1
1532092803,1
1532092806,1
1532092809,1
1532092812,1
1532092815,1
1532092818,1
1532092821,1
1532092824,1
1532092827,1
1532092830,1
1532092833,1
1532092836,1
1532092839,1
1532092842,1
1532092845,1
1532092848,1
1532092851,1
1532092854,1
1532092857,1
1532092860,1
1532092863,1
1532092866,1
1532092869,1
1532092872,1
1532092875,1
1532092878,1
1532092881,1
1532092884,1
1532092887,1
1532092890,1
1532092893,1
1532092896,1
1532092899,1
1532092902,1
1532092905,1
1532092908,1
1532092911,1
1532092914,1
1532092917,1
1532092920,1
1532092923,1
1532092926,1
1532092929,1
1532092932,1
1532092935,1
1532092938,1
1532092941,1
1532092944,1
1532092947,1
1532092950,1
1532092953,1
1532092956,1
1532092959,1
1532092962,1
1532092965,1
1532092968,1
1532092971,1
1532092974,1
1532092977,1
1532092980,1
1532092983,1
1532092986,1
1532092989,1
1532092992,1
1532092995,1
1532092998,1
1532093001,1
1532093004,1
1532093007,1
1532093010,1
1532093013,1
1532093016,1
1532093019,1
1532093022,1
1532093025,1
1532093028,1
1532093031,1
1532093034,1
1532093037,1
1532093040,1
1532093043,1
1532093046,1
1532093049,1
1532093052,1
1532093055,1
1532093058,1
1532093061,1
1532093064,1
1532093067,1
1532093070,1
1532093073,1
1532093076,1
1532093079,1
1532093082,1
1532093085,1
1532093088,1
1532093091,1
1532093094,1
1532093097,1
1532093100,1
1532093103,1
1532093106,1
1532093109,1
1532093112,1
1532093115,1
1532093118,1
1532093121,1
1532093124,1
1532093127,1
1532093130,1
1532093133,1
1532093136,1
1532093139,1
1532093142,1
1532093145,1
1532093148,1
1532093151,1
1532093154,1
1532093157,1
1532093160,1
1532093163,1
1532093166,1
1532093169,1
1532093172,1
1532093175,1
1532093178,1
1532093181,1
1532093184,1
1532093187,1
1532093190,1
1532093193,1
1532093196,1
1532093199,1
1532093202,1
1532093205,1
1532093208,1
1532093211,1
1532093214,1
1532093217,1
1532093220,1
1532093223,1
1532093226,1
1532093229,1
1532093232,1
1532093235,1
1532093238,1
1532093241,1
1532093244,1
1532093247,1
1532093250,1
1532093253,1
1532093256,1
1532093259,1
1532093262,1
1532093265,1
1532093268,1
1532093271,1
1532093274,1
1532093277,1
1532093280,1
1532093283,1
1532093286,1
1532093289,1
1532093292,1
1532093295,1
1532093298,1
1532093301,1
1532093304,1
1532093307,1
1532093310,1
1532093313,1
1532093316,1
1532093319,1
1532093322,1
1532093325,1
1532093328,1
1532093331,1
1532093334,1
1532093337,1
1532093340,1
1532093343,1
1532093346,1
1532093349,1
1532093352,1
1532093355,1
1532093358,1
1532093361,1
1532093364,1
1532093367,1
1532093370,1
1532093373,1
1532093376,1
1532093379,1
1532093382,1
1532093385,1
1532093388,1
1532093391,1
1532093394,1
1532093397,1
1532093400,1
1532093403,1
1532093406,1
1532093409,1
1532093412,1
1532093415,1
1532093418,1
1532093421,1
1532093424,1
1532093427,1
1532093430,1
1532093433,1
1532093436,1
1532093439,1
1532093442,1
1532093445,1
1532093448,1
1532093451,1
1532093454,1
1532093457,1
1532093460,1
1532093463,1
1532093466,1
1532093469,1
1532093472,1
1532093475,1
1532093478,1
1532093481,1
1532093484,1
1532093487,1
1532093490,1
1532093493,1
1532093496,1
1532093499,1
1532093502,1
1532093505,1
1532093508,1
1532093511,1
1532093514,1
1532093517,1
1532093520,1
1532093523,1
1532093526,1
1532093529,1
1532093532,1
1532093535,1
1532093538,1
1532093541,1
1532093544,1
1532093547,1
1532093550,1
1532093553,1
1532093556,1
1532093559,1
1532093562,1
1532093565,1
1532093568,1
1532093571,1
1532093574,1
1532093577,1
1532093580,1
1532093583,1
1532093586,1
1532093589,1
1532093592,1
1532093595,1
1532093598,1
1532093601,1
1532093604,1
1532093607,1
1532093610,1
1532093613,1
1532093616,1
1532093619,1
1532093622,1
1532093625,1
1532093628,1
1532093631,1
1532093634,1
1532093637,1
1532093640,1
1532093643,1
1532093646,1
1532093649,1
1532093652,1
1532093655,1
1532093658,1
1532093661,1
1532093664,1
1532093667,1
1532093670,1
1532093673,1
1532093676,1
1532093679,1
1532093682,1
1532093685,1
1532093688,1
1532093691,1
1532093694,1
1532093697,1
1532093700,1
1532093703,1
1532093706,1
1532093709,1
1532093712,1
1532093715,1
1532093718,1
1532093721,1
1532093724,1
1532093727,1
1532093730,1
1532093733,1
1532093736,1
1532093739,1
1532093742,1
1532093745,1
1532093748,1
1532093751,1
1532093754,1
1532093757,1
1532093760,1
1532093763,1
1532093766,1
1532093769,1
1532093772,1
1532093775,1
1532093778,1
1532093781,1
1532093784,1
1532093787,1
1532093790,1
1532093793,1
1532093796,12
1532093799,12
1532093802,12
1532093805,12
1532093808,12
1532093811,12
1532093814,12
1532093817,12
1532093820,12
1532093823,12
1532093826,12
1532093829,12
1532093832,12
1532093835,12
1532093838,12
1532093841,12
1532093844,12
1532093847,12
1532093850,12
1532093853,12
1532093856,12
1532093859,12
1532093862,12
1532093865,12
1532093868,12
1532093871,12
1532093874,12
1532093877,12
1532093880,12
1532093883,12
1532093886,12
1532093889,12
1532093892,12
1532093895,12
1532093898,12
1532093901,12
1532093904,12
1532093907,12
1532093910,12
1532093913,12
1532093916,12
1532093919,12
1532093922,12
1532093925,12
1532093928,12
1532093931,12
1532093934,12
1532093937,12
1532093940,12
1532093943,12
1532093946,12
1532093949,12
1532093952,12
1532093955,12
1532093958,12
1532093961,12
1532093964,12
1532093967,12
1532093970,12
1532093973,12
1532093976,12
1532093979,12
1532093982,12
1532093985,12
1532093988,12
1532093991,12
1532093994,12
1532093997,12
1532094000,12
1532094003,12
1532094006,12
1532094009,12
1532094012,12
1532094015,12
