t,value
1532092062,0
1532092065,0
1532092068,0
1532092071,33
1532092074,33
1532092077,33
t,value
1532092253,0
1532092256,0
1532092259,0
1532092262,33
1532092265,33
1532092268,33
1532092271,33
1532092274,33
1532092277,33
1532092280,33
1532092283,33
1532092286,33
1532092289,33
1532092292,33
1532092295,33
1532092298,33
1532092301,33
1532092304,33
1532092307,33
1532092310,33
1532092313,33
1532092316,33
1532092319,33
1532092322,33
1532092325,33
1532092328,33
1532092331,33
1532092334,33
1532092337,33
1532092340,33
1532092343,33
1532092346,33
1532092349,33
1532092352,33
1532092355,33
1532092358,33
1532092361,33
1532092364,33
1532092367,33
1532092370,33
1532092373,33
1532092376,33
1532092463,33
1532092466,33
1532092469,33
1532092472,33
1532092475,33
1532092478,33
1532092481,33
1532092484,33
1532092487,33
1532092490,33
1532092493,33
1532092496,33
1532092499,33
1532092502,33
1532092505,33
1532092508,33
1532092511,33
1532092514,33
1532092517,33
1532092520,33
1532092773,33
1532092776,33
1532092779,33
1532092782,33
1532092785,33
1532092788,33
1532092791,33
1532092794,33
1532092797,33
1532092800,33
1532092803,33
1532092806,33
1532092809,33
1532092812,33
1532092815,33
1532092818,33
1532092821,33
1532092824,33
1532092827,33
1532092830,33
1532092833,33
1532092836,33
1532092839,33
1532092842,33
1532092845,33
1532092848,33
1532092851,33
1532092854,33
1532092857,33
1532092860,33
1532092863,33
1532092866,33
1532092869,33
1532092872,33
1532092875,33
1532092878,33
1532092881,33
1532092884,33
1532092887,33
1532092890,33
1532092893,33
1532092896,33
1532092899,33
1532092902,33
1532092905,33
1532092908,33
1532092911,33
1532092914,33
1532092917,33
1532092920,33
1532092923,33
1532092926,33
1532092929,33
1532092932,33
1532092935,33
1532092938,33
1532092941,33
1532092944,33
1532092947,33
1532092950,33
1532092953,33
1532092956,33
1532092959,33
1532092962,33
1532092965,33
1532092968,33
1532092971,33
1532092974,33
1532092977,33
1532092980,33
1532092983,33
1532092986,33
1532092989,33
1532092992,33
1532092995,33
1532092998,33
1532093001,33
1532093004,33
1532093007,33
1532093010,33
1532093013,33
1532093016,33
1532093019,33
1532093022,33
1532093025,33
1532093028,33
1532093031,33
1532093034,33
1532093037,33
1532093040,33
1532093043,33
1532093046,33
1532093049,33
1532093052,33
1532093055,33
1532093058,33
1532093061,33
1532093064,33
1532093067,33
1532093070,33
1532093073,33
1532093076,33
1532093079,33
1532093082,33
1532093085,33
1532093088,33
1532093091,33
1532093094,33
1532093097,33
1532093100,33
1532093103,33
1532093106,33
1532093109,33
1532093112,33
1532093115,33
1532093118,33
1532093121,33
1532093124,33
1532093127,33
1532093130,33
1532093133,33
1532093136,33
1532093139,33
1532093142,33
1532093145,33
1532093148,33
1532093151,33
1532093154,33
1532093157,33
1532093160,33
1532093163,33
1532093166,33
1532093169,33
1532093172,33
1532093175,33
1532093178,33
1532093181,33
1532093184,33
1532093187,33
1532093190,33
1532093193,33
1532093196,33
1532093199,33
1532093202,33
1532093205,33
1532093208,33
1532093211,33
1532093214,33
1532093217,33
1532093220,33
1532093223,33
1532093226,33
1532093229,33
1532093232,33
1532093235,33
1532093238,33
1532093241,33
1532093244,33
1532093247,33
1532093250,36
1532093253,36
1532093256,36
1532093259,36
1532093262,36
1532093265,36
1532093268,36
1532093271,36
1532093274,36
1532093277,36
1532093280,36
1532093283,36
1532093286,36
1532093289,36
1532093292,36
1532093295,36
1532093298,36
1532093301,36
1532093304,36
1532093307,36
1532093310,36
1532093313,36
1532093316,36
1532093319,36
1532093322,36
1532093325,36
1532093328,36
1532093331,36
1532093334,36
1532093337,36
1532093340,36
1532093343,36
1532093346,36
1532093349,36
1532093352,36
1532093355,36
1532093358,36
1532093361,36
1532093364,36
1532093367,36
1532093370,36
1532093373,36
1532093376,36
1532093379,36
1532093382,36
1532093385,36
1532093388,36
1532093391,36
1532093394,36
1532093397,36
1532093400,36
1532093403,36
1532093406,36
1532093409,36
1532093412,36
1532093415,36
1532093418,36
1532093421,36
1532093424,36
1532093427,36
1532093430,36
1532093433,36
1532093436,36
1532093439,36
1532093442,36
1532093445,36
1532093448,36
1532093451,36
1532093454,36
1532093457,36
1532093460,36
1532093463,36
1532093466,36
1532093469,36
1532093472,36
1532093475,36
1532093478,36
1532093481,36
1532093484,36
1532093487,36
1532093490,36
1532093493,36
1532093496,36
1532093499,36
1532093502,36
1532093505,36
1532093508,36
1532093511,36
1532093514,36
1532093517,36
