t,value
1532092062,-1
1532092065,-1
1532092068,-1
1532092071,-1
1532092074,-1
1532092077,8
t,value
1532092253,-1
1532092256,-1
1532092259,-1
1532092262,-1
1532092265,-1
1532092268,11
1532092271,11
1532092274,11
1532092277,11
1532092280,11
1532092283,11
1532092286,11
1532092289,11
1532092292,11
1532092295,11
1532092298,11
1532092301,11
1532092304,11
1532092307,11
1532092310,11
1532092313,11
1532092316,11
1532092319,11
1532092322,11
1532092325,11
1532092328,10
1532092331,10
1532092334,10
1532092337,10
1532092340,10
1532092343,10
1532092346,10
1532092349,10
1532092352,10
1532092355,10
1532092358,10
1532092361,10
1532092364,10
1532092367,10
1532092370,10
1532092373,10
1532092376,10
1532092463,10
1532092466,10
1532092469,10
1532092472,9
1532092475,9
1532092478,9
1532092481,9
1532092484,9
1532092487,9
1532092490,9
1532092493,9
1532092496,9
1532092499,9
1532092502,9
1532092505,9
1532092508,9
1532092511,9
1532092514,9
1532092517,9
1532092520,9
1532092773,9
1532092776,9
1532092779,9
1532092782,8
1532092785,8
1532092788,8
1532092791,8
1532092794,8
1532092797,8
1532092800,8
1532092803,8
1532092806,8
1532092809,8
1532092812,8
1532092815,8
1532092818,8
1532092821,8
1532092824,8
1532092827,8
1532092830,8
1532092833,8
1532092836,8
1532092839,8
1532092842,8
1532092845,8
1532092848,8
1532092851,8
1532092854,8
1532092857,8
1532092860,8
1532092863,8
1532092866,8
1532092869,8
1532092872,8
1532092875,8
1532092878,8
1532092881,8
1532092884,8
1532092887,8
1532092890,8
1532092893,8
1532092896,8
1532092899,8
1532092902,8
1532092905,8
1532092908,8
1532092911,8
1532092914,8
1532092917,8
1532092920,8
1532092923,8
1532092926,8
1532092929,8
1532092932,8
1532092935,8
1532092938,8
1532092941,8
1532092944,8
1532092947,8
1532092950,8
1532092953,8
1532092956,8
1532092959,8
1532092962,8
1532092965,8
1532092968,8
1532092971,8
1532092974,8
1532092977,8
1532092980,8
1532092983,8
1532092986,8
1532092989,8
1532092992,8
1532092995,8
1532092998,8
1532093001,8
1532093004,8
1532093007,8
1532093010,8
1532093013,8
1532093016,8
1532093019,8
1532093022,8
1532093025,8
1532093028,8
1532093031,8
1532093034,8
1532093037,8
1532093040,8
1532093043,8
1532093046,8
1532093049,8
1532093052,8
1532093055,8
1532093058,8
1532093061,8
1532093064,8
1532093067,8
1532093070,8
1532093073,8
1532093076,8
1532093079,8
1532093082,8
1532093085,8
1532093088,8
1532093091,8
1532093094,8
1532093097,8
1532093100,8
1532093103,8
1532093106,8
1532093109,8
1532093112,8
1532093115,8
1532093118,8
1532093121,8
1532093124,8
1532093127,8
1532093130,8
1532093133,8
1532093136,8
1532093139,8
1532093142,8
1532093145,8
1532093148,8
1532093151,8
1532093154,8
1532093157,8
1532093160,8
1532093163,8
1532093166,8
1532093169,8
1532093172,8
1532093175,8
1532093178,8
1532093181,8
1532093184,8
1532093187,8
1532093190,8
1532093193,8
1532093196,8
1532093199,8
1532093202,8
1532093205,8
1532093208,8
1532093211,8
1532093214,8
1532093217,8
1532093220,8
1532093223,8
1532093226,8
1532093229,8
1532093232,8
1532093235,8
1532093238,8
1532093241,8
1532093244,8
1532093247,8
1532093250,8
1532093253,8
1532093256,8
1532093259,8
1532093262,8
1532093265,8
1532093268,8
1532093271,8
1532093274,8
1532093277,8
1532093280,8
1532093283,8
1532093286,8
1532093289,8
1532093292,8
1532093295,8
1532093298,8
1532093301,8
1532093304,8
1532093307,8
1532093310,8
1532093313,8
1532093316,8
1532093319,8
1532093322,8
1532093325,8
1532093328,8
1532093331,8
1532093334,8
1532093337,8
1532093340,8
1532093343,8
1532093346,8
1532093349,8
1532093352,8
1532093355,8
1532093358,8
1532093361,8
1532093364,8
1532093367,8
1532093370,8
1532093373,8
1532093376,8
1532093379,8
1532093382,8
1532093385,8
1532093388,8
1532093391,8
1532093394,8
1532093397,8
1532093400,8
1532093403,8
1532093406,8
1532093409,8
1532093412,8
1532093415,8
1532093418,8
1532093421,8
1532093424,8
1532093427,8
1532093430,8
1532093433,8
1532093436,8
1532093439,8
1532093442,8
1532093445,8
1532093448,8
1532093451,8
1532093454,8
1532093457,8
1532093460,8
1532093463,8
1532093466,8
1532093469,8
1532093472,8
1532093475,8
1532093478,8
1532093481,8
1532093484,8
1532093487,8
1532093490,8
1532093493,8
1532093496,8
1532093499,8
1532093502,8
1532093505,8
1532093508,8
1532093511,8
1532093514,8
1532093517,8
1532093520,8
1532093523,8
1532093526,8
1532093529,8
1532093532,8
1532093535,8
1532093538,8
1532093541,8
1532093544,8
1532093547,8
1532093550,8
1532093553,8
1532093556,8
1532093559,8
1532093562,8
1532093565,8
1532093568,8
1532093571,8
1532093574,8
1532093577,8
1532093580,8
1532093583,8
1532093586,8
1532093589,8
1532093592,8
1532093595,8
1532093598,8
1532093601,8
1532093604,8
1532093607,8
1532093610,8
1532093613,8
1532093616,8
1532093619,8
1532093622,8
1532093625,8
1532093628,8
1532093631,8
1532093634,8
1532093637,8
1532093640,8
1532093643,8
1532093646,8
1532093649,8
1532093652,8
1532093655,8
1532093658,8
1532093661,8
1532093664,8
1532093667,8
1532093670,8
1532093673,8
1532093676,8
1532093679,8
1532093682,8
1532093685,8
1532093688,8
1532093691,8
1532093694,8
1532093697,8
1532093700,8
1532093703,8
1532093706,8
1532093709,8
1532093712,8
1532093715,8
1532093718,8
1532093721,8
1532093724,8
1532093727,8
1532093730,8
1532093733,8
1532093736,8
1532093739,8
1532093742,8
1532093745,8
1532093748,8
1532093751,8
1532093754,8
1532093757,8
1532093760,8
1532093763,8
1532093766,8
1532093769,8
1532093772,8
1532093775,8
1532093778,8
1532093781,8
1532093784,8
1532093787,8
1532093790,8
1532093793,8
1532093796,8
1532093799,8
1532093802,8
1532093805,8
1532093808,8
1532093811,8
1532093814,8
1532093817,8
1532093820,8
1532093823,8
1532093826,8
1532093829,8
1532093832,8
1532093835,8
1532093838,8
1532093841,8
1532093844,8
1532093847,8
1532093850,8
1532093853,8
1532093856,8
1532093859,8
1532093862,8
1532093865,8
1532093868,8
1532093871,8
1532093874,8
1532093877,8
1532093880,8
1532093883,8
1532093886,8
1532093889,8
1532093892,8
1532093895,8
1532093898,8
1532093901,8
1532093904,8
1532093907,8
1532093910,8
1532093913,8
1532093916,8
1532093919,8
1532093922,8
1532093925,8
1532093928,8
1532093931,8
1532093934,8
1532093937,8
1532093940,8
1532093943,8
1532093946,8
1532093949,8
1532093952,8
1532093955,8
1532093958,8
1532093961,8
1532093964,8
1532093967,8
1532093970,8
1532093973,8
1532093976,8
1532093979,8
1532093982,8
1532093985,8
1532093988,8
1532093991,8
1532093994,8
1532093997,8
1532094000,8
1532094003,8
1532094006,8
1532094009,8
1532094012,8
