t,value
1532092062,-1
1532092065,-1
1532092068,-1
1532092071,-1
1532092074,-1
1532092077,8
t,value
1532092253,-1
1532092256,-1
1532092259,-1
1532092262,-1
1532092265,-1
1532092268,4
1532092271,4
1532092274,4
1532092277,4
1532092280,4
1532092283,4
1532092286,4
1532092289,4
1532092292,4
1532092295,4
1532092298,4
1532092301,4
1532092304,4
1532092307,4
1532092310,4
1532092313,4
1532092316,4
1532092319,4
1532092322,4
1532092325,4
1532092328,4
1532092331,4
1532092334,4
1532092337,4
1532092340,4
1532092343,4
1532092346,4
1532092349,4
1532092352,4
1532092355,4
1532092358,4
1532092361,4
1532092364,4
1532092367,4
1532092370,4
1532092373,4
1532092376,4
1532092463,4
1532092466,4
1532092469,4
1532092472,3
1532092475,3
1532092478,3
1532092481,3
1532092484,3
1532092487,3
1532092490,3
1532092493,3
1532092496,3
1532092499,3
1532092502,3
1532092505,3
1532092508,3
1532092511,3
1532092514,3
1532092517,3
1532092520,3
1532092773,3
1532092776,3
1532092779,3
1532092782,2
1532092785,2
1532092788,2
1532092791,2
1532092794,2
1532092797,2
1532092800,2
1532092803,2
1532092806,2
1532092809,2
1532092812,2
1532092815,2
1532092818,2
1532092821,2
1532092824,2
1532092827,2
1532092830,2
1532092833,2
1532092836,2
1532092839,2
1532092842,2
1532092845,2
1532092848,2
1532092851,2
1532092854,2
1532092857,2
1532092860,2
1532092863,2
1532092866,2
1532092869,2
1532092872,2
1532092875,2
1532092878,2
1532092881,2
1532092884,2
1532092887,2
1532092890,2
1532092893,2
1532092896,2
1532092899,2
1532092902,2
1532092905,2
1532092908,2
1532092911,2
1532092914,2
1532092917,2
1532092920,2
1532092923,2
1532092926,2
1532092929,2
1532092932,2
1532092935,2
1532092938,2
1532092941,2
1532092944,2
1532092947,2
1532092950,2
1532092953,2
1532092956,2
1532092959,2
1532092962,2
1532092965,2
1532092968,2
1532092971,2
1532092974,2
1532092977,2
1532092980,2
1532092983,2
1532092986,2
1532092989,2
1532092992,2
1532092995,2
1532092998,2
1532093001,2
1532093004,2
1532093007,2
1532093010,2
1532093013,2
1532093016,2
1532093019,2
1532093022,2
1532093025,2
1532093028,2
1532093031,2
1532093034,2
1532093037,2
1532093040,2
1532093043,2
1532093046,2
1532093049,2
1532093052,2
1532093055,2
1532093058,2
1532093061,2
1532093064,2
1532093067,2
1532093070,2
1532093073,2
1532093076,2
1532093079,2
1532093082,2
1532093085,2
1532093088,2
1532093091,2
1532093094,2
1532093097,2
1532093100,2
1532093103,2
1532093106,2
1532093109,2
1532093112,2
1532093115,2
1532093118,2
1532093121,2
1532093124,2
1532093127,2
1532093130,2
1532093133,2
1532093136,2
1532093139,2
1532093142,2
1532093145,2
1532093148,2
1532093151,2
1532093154,2
1532093157,2
1532093160,2
1532093163,2
1532093166,2
1532093169,2
1532093172,2
1532093175,2
1532093178,2
1532093181,2
1532093184,2
1532093187,2
1532093190,2
1532093193,2
1532093196,2
1532093199,2
1532093202,2
1532093205,2
1532093208,2
1532093211,2
1532093214,2
1532093217,2
1532093220,2
1532093223,2
1532093226,2
1532093229,2
1532093232,2
1532093235,2
1532093238,2
1532093241,2
1532093244,2
1532093247,2
1532093250,2
1532093253,2
1532093256,2
1532093259,2
1532093262,2
1532093265,2
1532093268,2
1532093271,2
1532093274,2
1532093277,2
1532093280,2
1532093283,2
1532093286,2
1532093289,2
1532093292,2
1532093295,2
1532093298,2
1532093301,2
1532093304,2
1532093307,2
1532093310,2
1532093313,2
1532093316,2
1532093319,2
1532093322,2
1532093325,2
1532093328,2
1532093331,2
1532093334,2
1532093337,2
1532093340,2
1532093343,2
1532093346,2
1532093349,2
1532093352,2
1532093355,2
1532093358,2
1532093361,2
1532093364,2
1532093367,2
1532093370,2
1532093373,2
1532093376,2
1532093379,2
1532093382,2
1532093385,2
1532093388,2
1532093391,2
1532093394,2
1532093397,2
1532093400,2
1532093403,2
1532093406,2
1532093409,2
1532093412,2
1532093415,2
1532093418,2
1532093421,2
1532093424,2
1532093427,2
1532093430,2
1532093433,2
1532093436,2
1532093439,2
1532093442,2
1532093445,2
1532093448,2
1532093451,2
1532093454,2
1532093457,2
1532093460,2
1532093463,2
1532093466,2
1532093469,2
1532093472,2
1532093475,2
1532093478,2
1532093481,2
1532093484,2
1532093487,2
1532093490,2
1532093493,2
1532093496,2
1532093499,2
1532093502,2
1532093505,2
1532093508,2
1532093511,2
1532093514,2
1532093517,2
1532093520,2
1532093523,2
1532093526,2
1532093529,2
1532093532,2
1532093535,2
1532093538,2
1532093541,2
1532093544,2
1532093547,2
1532093550,2
1532093553,2
1532093556,2
1532093559,2
1532093562,2
1532093565,2
1532093568,2
1532093571,2
1532093574,2
1532093577,2
1532093580,2
1532093583,2
1532093586,2
1532093589,2
1532093592,2
1532093595,2
1532093598,2
1532093601,2
1532093604,2
1532093607,2
1532093610,2
1532093613,2
1532093616,2
1532093619,2
1532093622,2
1532093625,2
1532093628,2
1532093631,2
1532093634,2
1532093637,2
1532093640,2
1532093643,2
1532093646,2
1532093649,2
1532093652,2
1532093655,2
1532093658,2
1532093661,2
1532093664,2
1532093667,2
1532093670,2
1532093673,2
1532093676,2
1532093679,2
1532093682,2
1532093685,2
1532093688,2
1532093691,2
1532093694,2
1532093697,2
1532093700,2
1532093703,2
1532093706,2
1532093709,2
1532093712,2
1532093715,2
1532093718,2
1532093721,2
1532093724,2
1532093727,2
1532093730,2
1532093733,2
1532093736,2
1532093739,2
1532093742,2
1532093745,2
1532093748,2
1532093751,2
1532093754,2
1532093757,2
1532093760,2
1532093763,2
1532093766,2
1532093769,2
1532093772,2
1532093775,2
1532093778,2
1532093781,2
1532093784,2
1532093787,2
1532093790,2
1532093793,2
1532093796,2
1532093799,2
1532093802,2
1532093805,2
1532093808,2
1532093811,2
1532093814,2
1532093817,2
1532093820,2
1532093823,2
1532093826,2
1532093829,2
1532093832,2
1532093835,2
1532093838,2
1532093841,2
1532093844,2
1532093847,2
1532093850,2
1532093853,2
1532093856,2
1532093859,2
1532093862,2
1532093865,2
1532093868,2
1532093871,2
1532093874,2
1532093877,2
1532093880,2
1532093883,2
1532093886,2
1532093889,2
1532093892,2
1532093895,2
1532093898,2
1532093901,2
1532093904,2
1532093907,2
1532093910,2
1532093913,2
1532093916,2
1532093919,2
1532093922,2
1532093925,2
1532093928,2
1532093931,2
1532093934,2
1532093937,2
1532093940,2
1532093943,2
1532093946,2
1532093949,2
1532093952,2
1532093955,2
1532093958,2
1532093961,2
1532093964,2
1532093967,2
1532093970,2
1532093973,2
1532093976,2
1532093979,2
1532093982,2
1532093985,2
1532093988,2
1532093991,2
1532093994,2
1532093997,2
1532094000,2
1532094003,2
1532094006,2
1532094009,2
1532094012,2
