t,value
1532092062,0
1532092065,0
1532092068,0
1532092071,1
1532092074,1
1532092077,1
t,value
1532092253,0
1532092256,0
1532092259,0
1532092262,1
1532092265,1
1532092268,1
1532092271,3
1532092274,3
1532092277,3
1532092280,3
1532092283,3
1532092286,3
1532092289,3
1532092292,3
1532092295,3
1532092298,3
1532092301,3
1532092304,3
1532092307,3
1532092310,3
1532092313,3
1532092316,3
1532092319,3
1532092322,3
1532092325,3
1532092328,3
1532092331,3
1532092334,3
1532092337,3
1532092340,3
1532092343,3
1532092346,3
1532092349,3
1532092352,3
1532092355,3
1532092358,3
1532092361,3
1532092364,3
1532092367,3
1532092370,3
1532092373,3
1532092376,3
1532092463,3
1532092466,3
1532092469,3
1532092472,3
1532092475,3
1532092478,3
1532092481,3
1532092484,3
1532092487,3
1532092490,3
1532092493,3
1532092496,3
1532092499,3
1532092502,3
1532092505,3
1532092508,3
1532092511,3
1532092514,3
1532092517,3
1532092520,3
1532092773,3
1532092776,3
1532092779,3
1532092782,3
1532092785,3
1532092788,3
1532092791,3
1532092794,3
1532092797,3
1532092800,3
1532092803,3
1532092806,3
1532092809,3
1532092812,3
1532092815,3
1532092818,3
1532092821,3
1532092824,3
1532092827,3
1532092830,3
1532092833,3
1532092836,3
1532092839,3
1532092842,3
1532092845,3
1532092848,3
1532092851,3
1532092854,3
1532092857,3
1532092860,3
1532092863,3
1532092866,3
1532092869,3
1532092872,3
1532092875,3
1532092878,3
1532092881,3
1532092884,3
1532092887,3
1532092890,3
1532092893,3
1532092896,3
1532092899,3
1532092902,3
1532092905,3
1532092908,3
1532092911,3
1532092914,3
1532092917,3
1532092920,3
1532092923,3
1532092926,3
1532092929,3
1532092932,3
1532092935,3
1532092938,3
1532092941,3
1532092944,3
1532092947,3
1532092950,3
1532092953,3
1532092956,3
1532092959,3
1532092962,3
1532092965,3
1532092968,3
1532092971,3
1532092974,3
1532092977,3
1532092980,3
1532092983,3
1532092986,3
1532092989,3
1532092992,3
1532092995,3
1532092998,3
1532093001,3
1532093004,3
1532093007,3
1532093010,3
1532093013,3
1532093016,3
1532093019,3
1532093022,3
1532093025,3
1532093028,3
1532093031,3
1532093034,3
1532093037,3
1532093040,3
1532093043,3
1532093046,3
1532093049,3
1532093052,3
1532093055,3
1532093058,3
1532093061,3
1532093064,3
1532093067,3
1532093070,3
1532093073,3
1532093076,3
1532093079,3
1532093082,3
1532093085,3
1532093088,3
1532093091,3
1532093094,3
1532093097,3
1532093100,3
1532093103,3
1532093106,3
1532093109,3
1532093112,3
1532093115,3
1532093118,3
1532093121,3
1532093124,3
1532093127,3
1532093130,3
1532093133,3
1532093136,3
1532093139,3
1532093142,3
1532093145,3
1532093148,3
1532093151,3
1532093154,3
1532093157,3
1532093160,3
1532093163,3
1532093166,3
1532093169,3
1532093172,3
1532093175,3
1532093178,3
1532093181,3
1532093184,3
1532093187,3
1532093190,3
1532093193,3
1532093196,3
1532093199,3
1532093202,3
1532093205,3
1532093208,3
1532093211,3
1532093214,3
1532093217,3
1532093220,3
1532093223,3
1532093226,3
1532093229,3
1532093232,3
1532093235,3
1532093238,3
1532093241,3
1532093244,3
1532093247,3
1532093250,3
1532093253,3
1532093256,3
1532093259,3
1532093262,3
1532093265,3
1532093268,3
1532093271,3
1532093274,3
1532093277,3
1532093280,3
1532093283,3
1532093286,3
1532093289,3
1532093292,3
1532093295,3
1532093298,3
1532093301,3
1532093304,3
1532093307,3
1532093310,3
1532093313,3
1532093316,3
1532093319,3
1532093322,3
1532093325,3
1532093328,3
1532093331,3
1532093334,3
1532093337,3
1532093340,3
1532093343,3
1532093346,3
1532093349,3
1532093352,3
1532093355,3
1532093358,3
1532093361,3
1532093364,3
1532093367,3
1532093370,3
1532093373,3
1532093376,3
1532093379,3
1532093382,3
1532093385,3
1532093388,3
1532093391,3
1532093394,3
1532093397,3
1532093400,3
1532093403,3
1532093406,3
1532093409,3
1532093412,3
1532093415,3
1532093418,3
1532093421,3
1532093424,3
1532093427,3
1532093430,3
1532093433,3
1532093436,3
1532093439,3
1532093442,3
1532093445,3
1532093448,3
1532093451,3
1532093454,3
1532093457,3
1532093460,3
1532093463,3
1532093466,3
1532093469,3
1532093472,3
1532093475,3
1532093478,3
1532093481,3
1532093484,3
1532093487,3
1532093490,3
1532093493,3
1532093496,3
1532093499,3
1532093502,3
1532093505,3
1532093508,3
1532093511,3
1532093514,3
1532093517,3
