t,value
1532092062,4
1532092065,4
1532092068,4
1532092071,6
1532092074,6
1532092077,7
t,value
1532092253,3
1532092256,3
1532092259,3
1532092262,5
1532092265,5
1532092268,6
1532092271,7
1532092274,7
1532092277,7
1532092280,7
1532092283,7
1532092286,7
1532092289,7
1532092292,7
1532092295,7
1532092298,7
1532092301,7
1532092304,7
1532092307,7
1532092310,7
1532092313,7
1532092316,7
1532092319,7
1532092322,7
1532092325,7
1532092328,7
1532092331,7
1532092334,7
1532092337,7
1532092340,7
1532092343,7
1532092346,7
1532092349,7
1532092352,7
1532092355,7
1532092358,7
1532092361,7
1532092364,7
1532092367,7
1532092370,7
1532092373,7
1532092376,7
1532092463,7
1532092466,7
1532092469,7
1532092472,7
1532092475,7
1532092478,7
1532092481,7
1532092484,7
1532092487,7
1532092490,7
1532092493,7
1532092496,7
1532092499,7
1532092502,7
1532092505,7
1532092508,7
1532092511,7
1532092514,7
1532092517,7
1532092520,7
1532092773,7
1532092776,7
1532092779,7
1532092782,7
1532092785,7
1532092788,7
1532092791,7
1532092794,7
1532092797,7
1532092800,7
1532092803,7
1532092806,7
1532092809,7
1532092812,7
1532092815,7
1532092818,7
1532092821,7
1532092824,7
1532092827,7
1532092830,7
1532092833,7
1532092836,7
1532092839,7
1532092842,7
1532092845,7
1532092848,7
1532092851,7
1532092854,7
1532092857,7
1532092860,7
1532092863,7
1532092866,7
1532092869,7
1532092872,7
1532092875,7
1532092878,7
1532092881,7
1532092884,7
1532092887,7
1532092890,7
1532092893,7
1532092896,7
1532092899,7
1532092902,7
1532092905,8
1532092908,8
1532092911,8
1532092914,8
1532092917,8
1532092920,8
1532092923,8
1532092926,8
1532092929,8
1532092932,8
1532092935,8
1532092938,8
1532092941,8
1532092944,8
1532092947,8
1532092950,8
1532092953,8
1532092956,8
1532092959,8
1532092962,8
1532092965,8
1532092968,8
1532092971,8
1532092974,8
1532092977,8
1532092980,8
1532092983,8
1532092986,8
1532092989,8
1532092992,8
1532092995,8
1532092998,8
1532093001,8
1532093004,8
1532093007,8
1532093010,8
1532093013,8
1532093016,8
1532093019,8
1532093022,8
1532093025,8
1532093028,8
1532093031,8
1532093034,8
1532093037,8
1532093040,8
1532093043,8
1532093046,8
1532093049,8
1532093052,8
1532093055,8
1532093058,8
1532093061,8
1532093064,8
1532093067,8
1532093070,8
1532093073,8
1532093076,8
1532093079,8
1532093082,8
1532093085,8
1532093088,8
1532093091,8
1532093094,8
1532093097,8
1532093100,8
1532093103,8
1532093106,8
1532093109,8
1532093112,8
1532093115,8
1532093118,8
1532093121,8
1532093124,9
1532093127,9
1532093130,10
1532093133,10
1532093136,10
1532093139,10
1532093142,10
1532093145,10
1532093148,10
1532093151,10
1532093154,10
1532093157,10
1532093160,10
1532093163,10
1532093166,10
1532093169,10
1532093172,10
1532093175,10
1532093178,10
1532093181,10
1532093184,10
1532093187,10
1532093190,10
1532093193,10
1532093196,10
1532093199,10
1532093202,10
1532093205,10
1532093208,10
1532093211,10
1532093214,10
1532093217,10
1532093220,10
1532093223,10
1532093226,10
1532093229,10
1532093232,10
1532093235,10
1532093238,10
1532093241,10
1532093244,10
1532093247,10
1532093250,10
1532093253,10
1532093256,10
1532093259,10
1532093262,10
1532093265,10
1532093268,10
1532093271,10
1532093274,10
1532093277,10
1532093280,10
1532093283,10
1532093286,10
1532093289,10
1532093292,10
1532093295,10
1532093298,10
1532093301,10
1532093304,11
1532093307,11
1532093310,11
1532093313,11
1532093316,11
1532093319,11
1532093322,11
1532093325,11
1532093328,11
1532093331,11
1532093334,11
1532093337,11
1532093340,11
1532093343,11
1532093346,11
1532093349,11
1532093352,11
1532093355,11
1532093358,11
1532093361,11
1532093364,11
1532093367,11
1532093370,11
1532093373,11
1532093376,11
1532093379,11
1532093382,11
1532093385,11
1532093388,11
1532093391,11
1532093394,11
1532093397,11
1532093400,11
1532093403,11
1532093406,11
1532093409,11
1532093412,11
1532093415,11
1532093418,11
1532093421,11
1532093424,11
1532093427,11
1532093430,11
1532093433,11
1532093436,11
1532093439,11
1532093442,11
1532093445,11
1532093448,11
1532093451,11
1532093454,11
1532093457,11
1532093460,11
1532093463,11
1532093466,11
1532093469,11
1532093472,11
1532093475,11
1532093478,11
1532093481,11
1532093484,11
1532093487,11
1532093490,11
1532093493,11
1532093496,11
1532093499,11
1532093502,11
1532093505,11
1532093508,11
1532093511,11
1532093514,11
1532093517,11
1532093520,11
1532093523,11
1532093526,11
1532093529,11
1532093532,11
1532093535,11
1532093538,11
1532093541,11
1532093544,11
1532093547,11
1532093550,11
1532093553,11
1532093556,11
1532093559,11
1532093562,11
1532093565,11
1532093568,11
1532093571,11
1532093574,11
1532093577,11
1532093580,11
1532093583,11
1532093586,11
1532093589,11
1532093592,11
1532093595,11
1532093598,11
1532093601,11
1532093604,11
1532093607,11
1532093610,11
1532093613,11
1532093616,11
1532093619,11
1532093622,11
1532093625,11
1532093628,11
1532093631,11
1532093634,11
1532093637,11
1532093640,11
1532093643,11
1532093646,11
1532093649,11
1532093652,11
1532093655,11
1532093658,11
1532093661,11
1532093664,11
1532093667,11
1532093670,11
1532093673,11
1532093676,11
1532093679,11
1532093682,11
1532093685,11
1532093688,11
1532093691,11
1532093694,11
1532093697,11
1532093700,11
1532093703,11
1532093706,11
1532093709,11
1532093712,11
1532093715,11
1532093718,11
1532093721,11
1532093724,11
1532093727,11
1532093730,11
1532093733,11
1532093736,11
1532093739,11
1532093742,11
1532093745,11
1532093748,11
1532093751,11
1532093754,11
1532093757,11
1532093760,11
1532093763,11
1532093766,11
1532093769,11
1532093772,11
1532093775,11
1532093778,11
1532093781,11
1532093784,11
1532093787,11
1532093790,11
1532093793,11
1532093796,11
1532093799,11
1532093802,11
1532093805,11
1532093808,11
1532093811,11
1532093814,11
1532093817,11
1532093820,11
1532093823,11
1532093826,11
1532093829,11
1532093832,11
1532093835,11
1532093838,11
1532093841,11
1532093844,11
1532093847,11
1532093850,11
1532093853,11
1532093856,11
1532093859,11
1532093862,11
1532093865,11
1532093868,11
1532093871,11
1532093874,11
1532093877,11
1532093880,11
1532093883,11
1532093886,12
1532093889,12
1532093892,12
1532093895,12
1532093898,12
1532093901,12
1532093904,12
1532093907,12
1532093910,12
1532093913,12
1532093916,12
1532093919,12
1532093922,12
1532093925,12
1532093928,12
1532093931,12
1532093934,12
1532093937,12
1532093940,12
1532093943,12
1532093946,12
1532093949,12
1532093952,12
1532093955,12
1532093958,12
1532093961,12
1532093964,12
1532093967,12
1532093970,12
1532093973,12
1532093976,12
1532093979,12
1532093982,12
1532093985,12
1532093988,12
1532093991,12
1532093994,12
1532093997,12
1532094000,12
1532094003,12
1532094006,12
1532094009,12
1532094012,12
1532094015,12
1532094018,12
1532094021,12
1532094024,12
1532094027,12
1532094030,12
1532094033,12
1532094036,12
1532094039,12
1532094042,12
1532094045,12
1532094048,12
1532094051,12
1532094054,12
1532094057,12
1532094060,12
1532094063,12
1532094066,12
1532094069,12
1532094072,12
1532094075,12
1532094078,12
1532094081,12
1532094084,12
1532094087,12
1532094090,12
1532094093,12
1532094096,12
1532094099,12
1532094102,12
1532094105,12
1532094108,12
1532094111,12
1532094114,12
1532094117,12
1532094120,12
1532094123,12
1532094126,12
1532094129,12
1532094132,12
1532094135,12
1532094138,12
1532094141,12
