t,value
1532092062,5
1532092065,5
1532092068,5
1532092071,5
1532092074,5
1532092077,5
t,value
1532092253,5
1532092256,5
1532092259,5
1532092262,5
1532092265,5
1532092268,9
1532092271,9
1532092274,9
1532092277,9
1532092280,9
1532092283,9
1532092286,9
1532092289,9
1532092292,9
1532092295,9
1532092298,9
1532092301,9
1532092304,9
1532092307,9
1532092310,9
1532092313,9
1532092316,9
1532092319,9
1532092322,9
1532092325,9
1532092328,9
1532092331,9
1532092334,9
1532092337,9
1532092340,9
1532092343,9
1532092346,9
1532092349,9
1532092352,9
1532092355,9
1532092358,9
1532092361,9
1532092364,9
1532092367,9
1532092370,9
1532092373,9
1532092376,9
1532092463,9
1532092466,9
1532092469,9
1532092472,9
1532092475,9
1532092478,9
1532092481,9
1532092484,9
1532092487,9
1532092490,9
1532092493,9
1532092496,9
1532092499,9
1532092502,9
1532092505,9
1532092508,9
1532092511,9
1532092514,9
1532092517,9
1532092520,9
1532092773,9
1532092776,9
1532092779,9
1532092782,9
1532092785,9
1532092788,9
1532092791,9
1532092794,9
1532092797,9
1532092800,9
1532092803,9
1532092806,9
1532092809,9
1532092812,9
1532092815,9
1532092818,9
1532092821,9
1532092824,9
1532092827,9
1532092830,9
1532092833,9
1532092836,9
1532092839,9
1532092842,9
1532092845,9
1532092848,9
1532092851,9
1532092854,9
1532092857,9
1532092860,9
1532092863,9
1532092866,9
1532092869,9
1532092872,9
1532092875,9
1532092878,9
1532092881,9
1532092884,9
1532092887,9
1532092890,9
1532092893,9
1532092896,9
1532092899,9
1532092902,9
1532092905,8
1532092908,8
1532092911,8
1532092914,8
1532092917,8
1532092920,8
1532092923,8
1532092926,8
1532092929,8
1532092932,8
1532092935,8
1532092938,8
1532092941,8
1532092944,8
1532092947,8
1532092950,8
1532092953,8
1532092956,8
1532092959,8
1532092962,8
1532092965,8
1532092968,8
1532092971,8
1532092974,8
1532092977,8
1532092980,8
1532092983,8
1532092986,8
1532092989,8
1532092992,8
1532092995,8
1532092998,8
1532093001,8
1532093004,8
1532093007,8
1532093010,8
1532093013,8
1532093016,8
1532093019,8
1532093022,8
1532093025,8
1532093028,8
1532093031,8
1532093034,8
1532093037,8
1532093040,8
1532093043,8
1532093046,8
1532093049,8
1532093052,8
1532093055,8
1532093058,8
1532093061,8
1532093064,8
1532093067,8
1532093070,8
1532093073,8
1532093076,8
1532093079,8
1532093082,8
1532093085,8
1532093088,8
1532093091,8
1532093094,8
1532093097,8
1532093100,8
1532093103,8
1532093106,8
1532093109,8
1532093112,8
1532093115,8
1532093118,8
1532093121,8
1532093124,8
1532093127,8
1532093130,8
1532093133,8
1532093136,8
1532093139,8
1532093142,8
1532093145,8
1532093148,8
1532093151,8
1532093154,8
1532093157,8
1532093160,8
1532093163,8
1532093166,8
1532093169,8
1532093172,8
1532093175,8
1532093178,8
1532093181,8
1532093184,8
1532093187,8
1532093190,8
1532093193,8
1532093196,8
1532093199,8
1532093202,8
1532093205,8
1532093208,8
1532093211,8
1532093214,8
1532093217,8
1532093220,8
1532093223,8
1532093226,8
1532093229,8
1532093232,8
1532093235,8
1532093238,8
1532093241,8
1532093244,8
1532093247,8
1532093250,9
1532093253,9
1532093256,9
1532093259,9
1532093262,9
1532093265,9
1532093268,9
1532093271,9
1532093274,9
1532093277,9
1532093280,9
1532093283,9
1532093286,9
1532093289,9
1532093292,9
1532093295,9
1532093298,9
1532093301,9
1532093304,9
1532093307,9
1532093310,9
1532093313,9
1532093316,9
1532093319,9
1532093322,9
1532093325,9
1532093328,9
1532093331,9
1532093334,9
1532093337,9
1532093340,9
1532093343,9
1532093346,9
1532093349,9
1532093352,9
1532093355,9
1532093358,9
