t,value
1532092062,22
1532092065,22
1532092068,22
1532092071,28
1532092074,28
1532092077,40
t,value
1532092253,22
1532092256,22
1532092259,22
1532092262,28
1532092265,28
1532092268,47
1532092271,54
1532092274,53
1532092277,53
1532092280,51
1532092283,51
1532092286,50
1532092289,51
1532092292,52
1532092295,52
1532092298,51
1532092301,51
1532092304,50
1532092307,50
1532092310,50
1532092313,50
1532092316,50
1532092319,49
1532092322,49
1532092325,49
1532092328,48
1532092331,51
1532092334,50
1532092337,50
1532092340,49
1532092343,49
1532092346,49
1532092349,49
1532092352,49
1532092355,49
1532092358,48
1532092361,48
1532092364,48
1532092367,48
1532092370,50
1532092373,50
1532092376,49
1532092463,49
1532092466,49
1532092469,48
1532092472,47
1532092475,48
1532092478,48
1532092481,48
1532092484,47
1532092487,47
1532092490,47
1532092493,47
1532092496,48
1532092499,48
1532092502,48
1532092505,47
1532092508,47
1532092511,47
1532092514,48
1532092517,48
1532092520,48
1532092773,47
1532092776,47
1532092779,47
1532092782,46
1532092785,48
1532092788,48
1532092791,47
1532092794,47
1532092797,47
1532092800,46
1532092803,48
1532092806,48
1532092809,48
1532092812,47
1532092815,47
1532092818,46
1532092821,46
1532092824,49
1532092827,49
1532092830,49
1532092833,49
1532092836,49
1532092839,49
1532092842,47
1532092845,48
1532092848,48
1532092851,47
1532092854,48
1532092857,50
1532092860,49
1532092863,49
1532092866,49
1532092869,48
1532092872,47
1532092875,47
1532092878,46
1532092881,48
1532092884,48
1532092887,47
1532092890,47
1532092893,47
1532092896,47
1532092899,47
1532092902,47
1532092905,47
1532092908,48
1532092911,48
1532092914,46
1532092917,46
1532092920,46
1532092923,48
1532092926,48
1532092929,48
1532092932,47
1532092935,47
1532092938,47
1532092941,48
1532092944,49
1532092947,49
1532092950,49
1532092953,48
1532092956,48
1532092959,48
1532092962,48
1532092965,49
1532092968,48
1532092971,48
1532092974,47
1532092977,47
1532092980,47
1532092983,47
1532092986,47
1532092989,47
1532092992,46
1532092995,46
1532092998,46
1532093001,46
1532093004,49
1532093007,49
1532093010,49
1532093013,48
1532093016,48
1532093019,47
1532093022,47
1532093025,47
1532093028,47
1532093031,47
1532093034,46
1532093037,46
1532093040,46
1532093043,46
1532093046,49
1532093049,48
1532093052,48
1532093055,48
1532093058,49
1532093061,49
1532093064,51
1532093067,50
1532093070,49
1532093073,48
1532093076,47
1532093079,47
1532093082,46
1532093085,47
1532093088,48
1532093091,48
1532093094,48
1532093097,48
1532093100,47
1532093103,47
1532093106,48
1532093109,48
1532093112,46
1532093115,46
1532093118,46
1532093121,46
1532093124,48
1532093127,48
1532093130,48
1532093133,48
1532093136,47
1532093139,46
1532093142,50
1532093145,50
1532093148,50
1532093151,50
1532093154,51
1532093157,50
1532093160,51
1532093163,50
1532093166,50
1532093169,50
1532093172,50
1532093175,49
1532093178,48
1532093181,49
1532093184,49
1532093187,49
1532093190,49
1532093193,49
1532093196,47
1532093199,47
1532093202,46
1532093205,47
1532093208,48
1532093211,48
1532093214,48
1532093217,48
1532093220,48
1532093223,48
1532093226,48
1532093229,49
1532093232,49
1532093235,47
1532093238,47
1532093241,46
1532093244,47
1532093247,48
1532093250,48
1532093253,48
1532093256,47
1532093259,47
1532093262,49
1532093265,49
1532093268,49
1532093271,49
1532093274,48
1532093277,48
1532093280,48
1532093283,46
1532093286,48
1532093289,48
1532093292,47
1532093295,47
1532093298,46
1532093301,46
1532093304,47
1532093307,47
1532093310,49
1532093313,49
1532093316,48
1532093319,48
1532093322,48
1532093325,47
1532093328,47
1532093331,47
1532093334,46
1532093337,46
1532093340,46
1532093343,47
1532093346,49
1532093349,49
1532093352,47
1532093355,47
1532093358,47
1532093361,46
1532093364,47
1532093367,47
1532093370,47
1532093373,46
1532093376,46
1532093379,46
1532093382,46
1532093385,47
1532093388,47
1532093391,47
1532093394,46
1532093397,46
1532093400,46
