t,value
1532092062,25
1532092065,25
1532092068,25
1532092071,31
1532092074,31
1532092077,43
t,value
1532092253,25
1532092256,25
1532092259,25
1532092262,31
1532092265,31
1532092268,50
1532092271,57
1532092274,56
1532092277,56
1532092280,54
1532092283,54
1532092286,53
1532092289,54
1532092292,55
1532092295,55
1532092298,54
1532092301,54
1532092304,53
1532092307,53
1532092310,53
1532092313,53
1532092316,53
1532092319,52
1532092322,52
1532092325,52
1532092328,51
1532092331,54
1532092334,53
1532092337,53
1532092340,52
1532092343,52
1532092346,52
1532092349,52
1532092352,52
1532092355,52
1532092358,51
1532092361,51
1532092364,51
1532092367,51
1532092370,53
1532092373,53
1532092376,52
1532092463,52
1532092466,52
1532092469,51
1532092472,50
1532092475,51
1532092478,51
1532092481,51
1532092484,50
1532092487,50
1532092490,50
1532092493,50
1532092496,51
1532092499,51
1532092502,51
1532092505,50
1532092508,50
1532092511,50
1532092514,51
1532092517,51
1532092520,51
1532092773,50
1532092776,50
1532092779,50
1532092782,49
1532092785,51
1532092788,51
1532092791,50
1532092794,50
1532092797,50
1532092800,49
1532092803,51
1532092806,51
1532092809,51
1532092812,50
1532092815,50
1532092818,49
1532092821,49
1532092824,52
1532092827,52
1532092830,52
1532092833,52
1532092836,52
1532092839,52
1532092842,50
1532092845,51
1532092848,51
1532092851,50
1532092854,51
1532092857,53
1532092860,52
1532092863,52
1532092866,52
1532092869,51
1532092872,50
1532092875,50
1532092878,49
1532092881,51
1532092884,51
1532092887,50
1532092890,50
1532092893,50
1532092896,50
1532092899,50
1532092902,50
1532092905,50
1532092908,51
1532092911,51
1532092914,49
1532092917,49
1532092920,49
1532092923,51
1532092926,51
1532092929,51
1532092932,50
1532092935,50
1532092938,50
1532092941,51
1532092944,52
1532092947,52
1532092950,52
1532092953,51
1532092956,51
1532092959,51
1532092962,51
1532092965,52
1532092968,51
1532092971,51
1532092974,50
1532092977,50
1532092980,50
1532092983,50
1532092986,50
1532092989,50
1532092992,49
1532092995,49
1532092998,49
1532093001,49
1532093004,52
1532093007,52
1532093010,52
1532093013,51
1532093016,51
1532093019,50
1532093022,50
1532093025,50
1532093028,50
1532093031,50
1532093034,49
1532093037,49
1532093040,49
1532093043,49
1532093046,52
1532093049,51
1532093052,51
1532093055,51
1532093058,52
1532093061,52
1532093064,54
1532093067,53
1532093070,52
1532093073,51
1532093076,50
1532093079,50
1532093082,49
1532093085,50
1532093088,51
1532093091,51
1532093094,51
1532093097,51
1532093100,50
1532093103,50
1532093106,51
1532093109,51
1532093112,49
1532093115,49
1532093118,49
1532093121,49
1532093124,51
1532093127,51
1532093130,51
1532093133,51
1532093136,50
1532093139,49
1532093142,53
1532093145,53
1532093148,53
1532093151,52
1532093154,54
1532093157,53
1532093160,54
1532093163,53
1532093166,53
1532093169,53
1532093172,53
1532093175,52
1532093178,51
1532093181,52
1532093184,52
1532093187,52
1532093190,52
1532093193,52
1532093196,50
1532093199,50
1532093202,49
1532093205,51
1532093208,52
1532093211,51
1532093214,51
1532093217,51
1532093220,51
1532093223,51
1532093226,51
1532093229,52
1532093232,52
1532093235,50
1532093238,50
1532093241,49
1532093244,50
1532093247,51
1532093250,51
1532093253,51
1532093256,50
1532093259,50
1532093262,52
1532093265,52
1532093268,52
1532093271,52
1532093274,51
1532093277,51
1532093280,51
1532093283,49
1532093286,51
1532093289,51
1532093292,50
1532093295,50
1532093298,49
1532093301,49
1532093304,50
1532093307,50
1532093310,52
1532093313,52
1532093316,51
1532093319,51
1532093322,51
1532093325,50
1532093328,50
1532093331,50
1532093334,49
1532093337,49
1532093340,49
1532093343,50
1532093346,52
1532093349,52
1532093352,50
1532093355,50
1532093358,50
1532093361,49
1532093364,50
1532093367,50
1532093370,50
1532093373,49
1532093376,49
1532093379,49
1532093382,49
1532093385,50
1532093388,50
1532093391,50
1532093394,49
1532093397,49
1532093400,49
1532093403,49
1532093406,51
1532093409,51
1532093412,50
1532093415,50
1532093418,49
1532093421,49
1532093424,50
1532093427,50
1532093430,50
1532093433,50
1532093436,49
1532093439,49
1532093442,49
1532093445,51
1532093448,51
1532093451,50
1532093454,50
1532093457,50
1532093460,49
1532093463,49
1532093466,50
1532093469,50
1532093472,49
1532093475,49
1532093478,49
1532093481,49
1532093484,51
1532093487,51
1532093490,50
1532093493,50
1532093496,50
1532093499,49
1532093502,49
1532093505,51
1532093508,51
1532093511,50
1532093514,50
1532093517,50
1532093520,49
1532093523,49
1532093526,51
1532093529,51
1532093532,50
1532093535,50
1532093538,49
1532093541,49
1532093544,51
1532093547,51
1532093550,50
1532093553,50
1532093556,50
1532093559,49
1532093562,49
1532093565,50
1532093568,50
1532093571,50
1532093574,49
1532093577,49
1532093580,49
1532093583,49
1532093586,51
1532093589,51
1532093592,50
1532093595,50
1532093598,49
1532093601,49
1532093604,50
1532093607,50
1532093610,50
1532093613,50
1532093616,49
1532093619,49
1532093622,49
1532093625,50
1532093628,50
1532093631,50
1532093634,49
1532093637,49
1532093640,49
1532093643,49
1532093646,50
1532093649,50
1532093652,50
1532093655,49
1532093658,49
1532093661,49
1532093664,50
1532093667,50
1532093670,50
1532093673,49
1532093676,49
1532093679,49
1532093682,49
1532093685,50
1532093688,50
1532093691,50
1532093694,49
1532093697,49
1532093700,49
1532093703,49
1532093706,50
1532093709,50
1532093712,50
1532093715,49
1532093718,49
1532093721,51
1532093724,52
1532093727,54
1532093730,53
1532093733,51
1532093736,51
1532093739,50
1532093742,49
1532093745,50
1532093748,50
1532093751,50
1532093754,49
1532093757,49
1532093760,49
1532093763,49
1532093766,50
1532093769,50
1532093772,49
1532093775,49
1532093778,49
1532093781,49
1532093784,50
1532093787,50
1532093790,50
1532093793,50
1532093796,50
1532093799,50
1532093802,50
1532093805,51
1532093808,51
1532093811,51
1532093814,50
1532093817,50
1532093820,50
1532093823,50
1532093826,53
1532093829,52
1532093832,52
1532093835,51
1532093838,51
1532093841,53
1532093844,53
1532093847,52
1532093850,52
1532093853,51
1532093856,50
1532093859,49
1532093862,52
1532093865,52
1532093868,51
1532093871,51
1532093874,49
1532093877,49
1532093880,49
1532093883,49
1532093886,50
1532093889,50
1532093892,49
1532093895,49
1532093898,49
1532093901,49
1532093904,50
1532093907,50
1532093910,50
1532093913,49
1532093916,49
1532093919,49
1532093922,51
1532093925,52
1532093928,51
1532093931,50
1532093934,51
1532093937,51
1532093940,51
1532093943,51
1532093946,51
1532093949,51
1532093952,51
1532093955,51
1532093958,50
1532093961,49
1532093964,50
1532093967,51
1532093970,51
1532093973,50
1532093976,51
1532093979,51
1532093982,51
1532093985,52
1532093988,52
1532093991,52
1532093994,52
1532093997,52
1532094000,52
1532094003,52
1532094006,51
1532094009,51
1532094012,50
1532094015,51
1532094018,51
1532094021,51
1532094024,52
1532094027,52
